SONGNAME,DIFF,Notion_Page_ID
QUANTUM TELEPORTATION,LEGGENDARIA,3a261b60-123e-81b8-b6ef-d3cb13dfb980
ユミル,LEGGENDARIA,3a261b60-123e-813a-a302-d3b1835f27c7
君のハートにロックオン,LEGGENDARIA,3a261b60-123e-8156-9763-e391a3665ce4
蛇神,LEGGENDARIA,3a261b60-123e-81c1-985a-e3ec129a034a
Phoenix,LEGGENDARIA,3a261b60-123e-8178-a452-cadbc61fefaf
A MINSTREL 〜 ver.short-scape 〜,LEGGENDARIA,3a261b60-123e-8116-b09e-d4022d5521b0
THE BLACK KNIGHT,LEGGENDARIA,3a261b60-123e-819a-9ef1-e246332e3abd
AIR RAID FROM THA UNDAGROUND,LEGGENDARIA,3a261b60-123e-811b-9e3f-d4d7e6b3b58e
thunder HOUSE NATION Remix,LEGGENDARIA,3a261b60-123e-81c9-832f-c13d4461e9ed
THANK YOU FOR PLAYING,LEGGENDARIA,3a261b60-123e-8144-8680-f49b3c78be64
Secrets,LEGGENDARIA,3a261b60-123e-8190-bb38-c1d98fb9c4fb
Marie Antoinette,LEGGENDARIA,3a261b60-123e-818a-8380-e70841fbbe8d
Kung-fu Empire,LEGGENDARIA,3a261b60-123e-816f-8a92-ee3ec53a51f3
CaptivAte2〜覚醒〜,LEGGENDARIA,3a261b60-123e-81dd-b84d-f4a780f4642d
B4U(BEMANI FOR YOU MIX),LEGGENDARIA,3a261b60-123e-81ab-b3f7-fc06763d4b22
Arabian Rave Night,LEGGENDARIA,3a261b60-123e-8157-9907-ede6b90c3cd6
ALL MY TURN-このターンに、オレの全てを賭ける-,LEGGENDARIA,3a261b60-123e-81e0-954c-dc074762a59a
華爛漫-Flowers-,LEGGENDARIA,3a261b60-123e-81b0-842c-e3b05c23b2ee
ミラージュ･レジデンス,LEGGENDARIA,3a261b60-123e-81b2-a2fa-c8f57bb7fd10
Time to Air,LEGGENDARIA,3a261b60-123e-81ed-98d8-d1f438b5595b
THE DEEP STRIKER,LEGGENDARIA,3a261b60-123e-8168-8b46-c9038c21d657
STEEL NEEDLE,LEGGENDARIA,3a261b60-123e-8175-84af-fa373cd910cb
NEW GENERATION-もう、お前しか見えない-,LEGGENDARIA,3a261b60-123e-81f7-86d6-dfc6ea94da73
MENTAL MELTDOWN,LEGGENDARIA,3a261b60-123e-8162-8652-ee916a34568c
four pieces of heaven,LEGGENDARIA,3a261b60-123e-81a7-ab38-c3e3d460e5ef
Do it!! Do it!!,LEGGENDARIA,3a261b60-123e-81d9-a1d3-cc6fd0aeaf6f
Blue Rain,LEGGENDARIA,3a261b60-123e-814a-8325-c57b548f4c92
"Anisakis-somatic mutation type ""Forza""-",LEGGENDARIA,3a261b60-123e-817e-9a50-d70a8f936ce7
Übertreffen,LEGGENDARIA,3a261b60-123e-81d5-b1b9-f83fd638d984
GRID KNIGHT,LEGGENDARIA,3a261b60-123e-8178-8d5a-c8702c038b9b
TRANOID,LEGGENDARIA,3a261b60-123e-81a4-a434-caec19f42acc
snow storm,LEGGENDARIA,3a261b60-123e-8176-9277-c033bb6c54c7
KAMAITACHI,LEGGENDARIA,3a261b60-123e-8156-9dce-ea18e446cc58
華蝶風雪,LEGGENDARIA,3a261b60-123e-8141-92bb-d0ecd06e9e81
waxing and wanding,LEGGENDARIA,3a261b60-123e-81b3-8852-e4c0f5c1cc4b
Ganymede,LEGGENDARIA,3a261b60-123e-819e-ba4d-fdcdc63fc332
CONTRACT,LEGGENDARIA,3a261b60-123e-81fc-aad4-e5b96de47ad2
Twelfth Style,LEGGENDARIA,3a261b60-123e-81c6-b6de-d9d2413608b4
Little Little Princess,LEGGENDARIA,3a261b60-123e-8109-be88-e07202a83fe5
INAZUMA,LEGGENDARIA,3a261b60-123e-81fb-ab36-dafa67ec4c85
garden,LEGGENDARIA,3a261b60-123e-815c-a8ee-ca40bea89201
CaptivAte〜浄化〜,LEGGENDARIA,3a261b60-123e-814a-9d73-c03582c5945b
spiral galaxy,LEGGENDARIA,3a261b60-123e-81eb-af61-c6b08560b4c4
RED ZONE,LEGGENDARIA,3a261b60-123e-819c-946e-ebed701f7b5d
Be quiet,LEGGENDARIA,3a261b60-123e-811e-87fc-cfe4585bb8b2
Rise'n Beauty,LEGGENDARIA,3a261b60-123e-8169-90f0-c5fef4452eb1
G2,LEGGENDARIA,3a261b60-123e-81ee-9cea-fb83218f97b3
concon,LEGGENDARIA,3a261b60-123e-81e2-9dc0-d5b972f4528e
Welcome,LEGGENDARIA,3a261b60-123e-8151-a1ff-c1c06de05a04
Saturn,LEGGENDARIA,3a261b60-123e-8172-a18c-e469bc8b9928
GUILTY,LEGGENDARIA,3a261b60-123e-812f-80de-fd2e89ddd5ad
Lisa-RICCIA,ANOTHER,3a161b60-123e-8186-b9ea-e26cbb2a146a
烽火連天の刃,ANOTHER,3a161b60-123e-8182-a567-dd927f15d66e
LIGHTNING STRIKES,ANOTHER,3a161b60-123e-8113-828f-c88e6dc3f889
お菓子の王国,ANOTHER,3a161b60-123e-8148-a2d9-f7dacfd92a82
GENE,ANOTHER,3a161b60-123e-81cb-ba59-f29c3a144e69
東京神話,ANOTHER,3a161b60-123e-81f3-9a91-e9ce25b82d39
DEATH†ZIGOQ〜怒りの高速爆走野郎〜,ANOTHER,3a161b60-123e-8198-92ac-dc8825a622e5
GuNGNiR,ANOTHER,3a161b60-123e-81e7-a242-f35c0e37ae5e
紫陽花 -AZISAI-,ANOTHER,3a161b60-123e-8172-ae83-f71df0defd33
Reflux,ANOTHER,3a161b60-123e-81c7-9e31-d569d8e91875
EBONY & IVORY,ANOTHER,3a161b60-123e-8100-9495-c4e8bc898907
千年ノ理,ANOTHER,3a161b60-123e-81e0-90a0-fd7ac0c4aef7
Flashes,ANOTHER,3a161b60-123e-81d3-8922-ca263306ba58
